"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.698502138E0,-1.895307750E-1,-9.529609680E-1,-2.242460251E0
6.716321413E0,8.150765300E-2,-8.878040314E-1,-2.077626705E0
6.734149294E0,3.315854669E-1,-8.704032898E-1,-2.003921032E0
6.751972841E0,5.429174900E-1,-7.910413742E-1,-1.707489967E0
6.769796815E0,7.459377050E-1,-3.768489361E-1,-1.530904293E0
6.787620058E0,1.021132350E0,2.655315399E-1,-9.934072495E-1
6.805444215E0,8.325439692E-1,7.577335835E-1,-8.438529968E-1
6.823268556E0,6.574879289E-1,1.092099190E0,-4.533748627E-1
6.841091432E0,5.701971054E-1,1.203766823E0,3.298072815E-1
6.858914430E0,4.858179092E-1,6.679146290E-1,1.893429756E0
6.876733888E0,4.011964202E-1,-9.798645973E-2,2.910855293E0
6.894562135E0,5.294144750E-1,-9.093551636E-1,3.988555908E0
6.912386232E0,2.225079536E-1,-9.560439587E-1,4.551120758E0
